nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Evanston South,5116,SA,Evanston Park,One Tree Hill,Playford,Adelaide - North,1
Pacific Pines,4211,QLD,Pacific Pines,Pacific Pines - Gaven,Robina,Gold Coast,1
Port Melbourne,3207,VIC,Port Melbourne,Port Melbourne Industrial,Hobsons Bay,Melbourne - West,1
North St Marys,2760,NSW,St Marys (NSW),St Marys - North St Marys,St Marys,Sydney - Outer West and Blue Mountains,1
Clayton,3168,VIC,Clayton,Clayton - Central,Monash,Melbourne - South East,1
Picton,2571,NSW,Picton (NSW),Picton - Tahmoor - Buxton,Wollondilly,Sydney - Outer South West,2
Denham Court,2565,NSW,Ingleburn,Ingleburn,Campbelltown (NSW),Sydney - Outer South West,1
Bluewater,4818,QLD,Deeragun,Deeragun - Jensen,Townsville,Townsville,5
Woollahra,2025,NSW,Woollahra,Woollahra,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Peregian Springs,4573,QLD,Peregian Beach,Noosa Hinterland,Noosa,Sunshine Coast,1
Wright,2611,ACT,ACT Remainder - Rendezvous Creek,Namadgi,Weston Creek,Australian Capital Territory,1
Manly,2095,NSW,Manly (NSW),Manly - Fairlight,Manly,Sydney - Northern Beaches,1
Kawungan,4655,QLD,Walkers Point,Maryborough Surrounds - South,Maryborough,Wide Bay,2
Carrington,2294,NSW,Carrington (Newcastle - NSW),Wickham - Carrington - Tighes Hill,Newcastle,Newcastle and Lake Macquarie,1
Green Valley,2168,NSW,Cartwright,Lurnea - Cartwright,Liverpool,Sydney - South West,1
Bradbury,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,1
Gymea,2227,NSW,Kirrawee,Sutherland - Kirrawee,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Birchgrove,2041,NSW,Balmain,Balmain,Leichhardt,Sydney - Inner West,1
Birkdale,4159,QLD,Birkdale,Capalaba,Capalaba,Brisbane - East,1
Canterbury,2193,NSW,Hurlstone Park,Ashfield - South,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Petrie,4502,QLD,Petrie,Petrie,Strathpine,Moreton Bay - South,1
Oatlands,2117,NSW,Oatlands (NSW),North Parramatta,Parramatta,Sydney - Parramatta,1
East Gosford,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
Point Vernon,4655,QLD,Walkers Point,Maryborough Surrounds - South,Maryborough,Wide Bay,2
Glenroy,3046,VIC,Oak Park,Pascoe Vale,Moreland - North,Melbourne - North West,1
Capalaba,4157,QLD,Sheldon,Sheldon - Mount Cotton,Cleveland - Stradbroke,Brisbane - East,1
Findon,5023,SA,Seaton (SA),Seaton - Grange,Charles Sturt,Adelaide - West,1
Maddingley,3340,VIC,Parwan,Eynesbury - Exford,Melton - Bacchus Marsh,Melbourne - West,2
Double Bay,2028,NSW,Double Bay,Double Bay - Darling Point,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Kings Langley,2147,NSW,Seven Hills (NSW),Toongabbie - West,Blacktown,Sydney - Blacktown,1
East Lismore,2480,NSW,Dunoon,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,3
Tanawha,4556,QLD,Forest Glen (Qld),Diddillibah - Rosemount,Nambour - Pomona,Sunshine Coast,1
Beveridge,3753,VIC,Beveridge,Whittlesea,Whittlesea - Wallan,Melbourne - North East,1
Forrestdale,6112,WA,Piara Waters,Piara Waters - Forrestdale,Gosnells,Perth - South East,1
Redbank Plains,4301,QLD,Redbank Plains,Redbank Plains,Springfield - Redbank,Ipswich,1
Avalon Beach,2107,NSW,Bilgola Plateau,Newport - Bilgola,Pittwater,Sydney - Northern Beaches,1
Clarence Park,5034,SA,Kings Park (SA),Goodwood - Millswood,Unley,Adelaide - Central and Hills,1
Lucknow,3875,VIC,Raymond Island,Paynesville,Wellington,Latrobe - Gippsland,4
Werrington County,2747,NSW,Jordan Springs,Jordan Springs - Llandilo,Penrith,Sydney - Outer West and Blue Mountains,1
Eltham North,3095,VIC,Research,Research - North Warrandyte,Nillumbik - Kinglake,Melbourne - North East,1
Wooroloo,6558,WA,Wooroloo,Chidlow,Wheat Belt - North,Western Australia - Wheat Belt,2
Granville,2142,NSW,Rosehill (NSW),Rosehill - Harris Park,Parramatta,Sydney - Parramatta,1
Lewisham,2049,NSW,Lewisham (NSW),Dulwich Hill - Lewisham,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
North Ryde,2113,NSW,Ryde,Ryde - North,Ryde - Hunters Hill,Sydney - Ryde,1
Murarrie,4172,QLD,Murarrie,Cannon Hill,Brisbane Inner - East,Brisbane Inner City,1
Holroyd,2142,NSW,Rosehill (NSW),Rosehill - Harris Park,Parramatta,Sydney - Parramatta,1
Gembrook,3783,VIC,Nangana,Emerald - Cockatoo,Cardinia,Melbourne - South East,5
Koonawarra,2530,NSW,Wongawilli,Horsley - Kembla Grange,Kiama - Shellharbour,Illawarra,1
Moana,5169,SA,Seaford Rise,Seaford Rise - Moana,Onkaparinga,Adelaide - South,1
Mount Gravatt,4122,QLD,Wishart (Qld),Wishart,Nathan,Brisbane - South,1
Surfers Paradise,4217,QLD,Surfers Paradise,Surfers Paradise - South,Surfers Paradise,Gold Coast,1
Kelmscott,6111,WA,Canning Mills,Lesmurdie - Bickley - Carmel,Wheat Belt - North,Western Australia - Wheat Belt,1
Bonner,2914,ACT,Throsby,Throsby,Gungahlin,Australian Capital Territory,1
Whitebridge,2290,NSW,Charlestown (NSW),Adamstown - Kotara,Newcastle,Newcastle and Lake Macquarie,1
Bacchus Marsh,3340,VIC,Parwan,Eynesbury - Exford,Melton - Bacchus Marsh,Melbourne - West,1
Ashmore,4214,QLD,Parkwood (Qld),Parkwood,Southport,Gold Coast,1
Narooma,2546,NSW,North Narooma,Narooma - Bermagui,South Coast,Capital Region,5
Urila,2620,NSW,ACT Remainder - Rendezvous Creek,Namadgi,Tuggeranong,Australian Capital Territory,5
Islington,2296,NSW,Islington,Wickham - Carrington - Tighes Hill,Newcastle,Newcastle and Lake Macquarie,1
