nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Dilston,7252,TAS,Stony Head,George Town,North East,Launceston and North East,2
Bongaree,4507,QLD,Woorim,Bribie Island,Bribie - Beachmere,Moreton Bay - North,3
Taylor,2913,ACT,Taylor,Taylor,Gungahlin,Australian Capital Territory,1
Sebastopol,3356,VIC,Sebastopol (Vic.),Sebastopol - Redan,Ballarat,Ballarat,2
Parkinson,4115,QLD,Parkinson,Parkinson - Drewvale,Sunnybank,Brisbane - South,1
Palmyra,6157,WA,Palmyra (WA),Bicton - Palmyra,Melville,Perth - South West,1
Cedar Creek,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,2
Bethania,4205,QLD,Bethania,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,1
Springwood,2777,NSW,Springwood (NSW),Springwood - Winmalee,Blue Mountains,Sydney - Outer West and Blue Mountains,1
Littlehampton,5250,SA,Littlehampton,Mount Barker,Adelaide Hills,Adelaide - Central and Hills,3
Greenwich,2065,NSW,Wollstonecraft,Crows Nest - Waverton,North Sydney - Mosman,Sydney - North Sydney and Hornsby,1
Clarkson,6030,WA,Mindarie (WA),Mindarie - Quinns Rocks - Jindalee,Wanneroo,Perth - North West,1
North Bondi,2026,NSW,North Bondi,Dover Heights,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Kingsley,6026,WA,Woodvale (WA),Woodvale,Joondalup,Perth - North West,1
Lethbridge,3332,VIC,Lethbridge,Golden Plains - South,Barwon - West,Geelong,5
Warrawee,2074,NSW,Warrawee,Wahroonga (East) - Warrawee,Pennant Hills - Epping,Sydney - Ryde,1
Seventeen Mile Rocks,4073,QLD,Seventeen Mile Rocks,Seventeen Mile Rocks - Sinnamon Park,Centenary,Brisbane - West,1
Patterson Lakes,3197,VIC,Patterson Lakes,Carrum - Patterson Lakes,Frankston,Mornington Peninsula,1
Bargara,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,2
Tarrawanna,2518,NSW,East Corrimal,Corrimal - Tarrawanna - Bellambi,Wollongong,Illawarra,1
Emerald,3782,VIC,Avonsleigh,Emerald - Cockatoo,Cardinia,Melbourne - South East,1
Norman Park,4170,QLD,Norman Park,Norman Park,Brisbane Inner - East,Brisbane Inner City,1
Malvern East,3145,VIC,Malvern East,Malvern East,Stonnington - East,Melbourne - Inner South,1
Bentleigh,3204,VIC,Bentleigh East,Bentleigh East - South,Glen Eira,Melbourne - Inner South,1
Ocean Shores,2483,NSW,Burringbar,Pottsville,Tweed Valley,Richmond - Tweed,5
Jindalee,4074,QLD,Sumner,Darra - Sumner,Forest Lake - Oxley,Ipswich,1
Menindee,2879,NSW,Sunset Strip (NSW),Far West,Broken Hill and Far West,Far West and Orana,7
Wallsend,2287,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,1
Tahmoor,2573,NSW,Thirlmere,Picton - Tahmoor - Buxton,Wollondilly,Sydney - Outer South West,5
